, True
the shot here; here's no scoring but upon the pate., True
Soft! who are you? Sir Walter Blunt: there's honour, True
for you! here's no vanity! I am as hot as moulten, True
lead, and as heavy too: God keep lead out of me! I, True
need no more weight than mine own bowels. I have, True
led my ragamuffins where they are peppered: there's, True
not three of my hundred and fifty left alive; and, True
they are for the town's end, to beg during life., True
But who comes here?, True
, True
Enter PRINCE HENRY, True
, True
PRINCE HENRY, True
, True
What, stand'st thou idle here? lend me thy sword:, True
Many a nobleman lies stark and stiff, True
Under the hoofs of vaunting enemies,, True
Whose deaths are yet unrevenged: I prithee,, True
lend me thy sword., True
, True
FALSTAFF, True
, True
O Hal, I prithee, give me leave to breathe awhile., True
Turk Gregory never did such deeds in arms as I have, True
done this day. I have paid Percy, I have made him sure., True
, True
PRINCE HENRY, True
, True
He is, indeed; and living to kill thee. I prithee,, True
lend me thy sword., True
, True
FALSTAFF, True
, True
Nay, before God, Hal, if Percy be alive, thou get'st, True
not my sword; but take my pistol, if thou wilt., True
, True
PRINCE HENRY, True
, True
Give it to me: what, is it in the case?, True
, True
FALSTAFF, True
, True
Ay, Hal; 'tis hot, 'tis hot; there's that will sack a city., True
, True
PRINCE HENRY draws it out, and finds it to be a bottle of sack, True
, True
PRINCE HENRY, True
, True
What, is it a time to jest and dally now?, True
, True
He throws the bottle at him. Exit, True
, True
FALSTAFF, True
, True
Well, if Percy be alive, I'll pierce him. If he do, True
come in my way, so: if he do not, if I come in his, True
willingly, let him make a carbonado of me. I like, True
not such grinning honour as Sir Walter hath: give me, True
life: which if I can save, so; if not, honour comes, True
unlooked for, and there's an end., True
, True
Exit FALSTAFF, True
, True
SCENE IV. Another part of the field., True
, True
Alarum. Excursions. Enter PRINCE HENRY, LORD JOHN OF LANCASTER, and EARL OF WESTMORELAND, True
, True
KING HENRY IV, True
, True
I prithee,, True
Harry, withdraw thyself; thou bleed'st too much., True
Lord John of Lancaster, go you with him., True
, True
LANCASTER, True
, True
Not I, my lord, unless I did bleed too., True
, True
PRINCE HENRY, True
, True
I beseech your majesty, make up,, True
Lest your retirement do amaze your friends., True
, True
KING HENRY IV, True
, True
I will do so., True
My Lord of Westmoreland, lead him to his tent., True
, True
WESTMORELAND, True
, True
Come, my lord, I'll lead you to your tent., True
, True
PRINCE HENRY, True
, True
Lead me, my lord? I do not need your help:, True
And God forbid a shallow scratch should drive, True
The Prince of Wales from such a field as this,, True
Where stain'd nobility lies trodden on,, True
and rebels' arms triumph in massacres!, True
, True
LANCASTER, True
, True
We breathe too long: come, cousin Westmoreland,, True
Our duty this way lies; for God's sake come., True
, True
Exeunt LANCASTER and WESTMORELAND, True
, True
PRINCE HENRY, True
, True
By God, thou hast deceived me, Lancaster;, True
I did not think thee lord of such a spirit:, True
Before, I loved thee as a brother, John;, True
But now, I do respect thee as my soul., True
, True
KING HENRY IV, True
, True
I saw him hold Lord Percy at the point, True
With lustier maintenance than I did look for, True
Of such an ungrown warrior., True
, True
PRINCE HENRY, True
, True
O, this boy, True
Lends mettle to us all!, True
, True
Exit, True
, True
Enter DOUGLAS, True
, True
EARL OF DOUGLAS, True
, True
Another king! they grow like Hydra's heads:, True
I am the Douglas, fatal to all those, True
That wear those colours on them: what art thou,, True
That counterfeit'st the person of a king?, True
, True
KING HENRY IV, True
, True
The king himself; who, Douglas, grieves at heart, True
So many of his shadows thou hast met, True
And not the very king. I have two boys, True
Seek Percy and thyself about the field:, True
But, seeing thou fall'st on me so luckily,, True
I will assay thee: so, defend thyself., True
, True
EARL OF DOUGLAS, True
, True
I fear thou art another counterfeit;, True
And yet, in faith, thou bear'st thee like a king:, True
But mine I am sure thou art, whoe'er thou be,, True
And thus I win thee., True
, True
They fight. KING HENRY being in danger, PRINCE HENRY enters, True
, True
PRINCE HENRY, True
, True
Hold up thy head, vile Scot, or thou art like, True
Never to hold it up again! the spirits, True
Of valiant Shirley, Stafford, Blunt, are in my arms:, True
It is the Prince of Wales that threatens thee;, True
Who never promiseth but he means to pay., True
, True
They fight: DOUGLAS flies, True
Cheerly, my lord how fares your grace?, True
Sir Nicholas Gawsey hath for succor sent,, True
And so hath Clifton: I'll to Clifton straight., True
, True
KING HENRY IV, True
, True
Stay, and breathe awhile:, True
Thou hast redeem'd thy lost opinion,, True
And show'd thou makest some tender of my life,, True
In this fair rescue thou hast brought to me., True
, True
PRINCE HENRY, True
, True
O God! they did me too much injury, True
That ever said I hearken'd for your death., True
If it were so, I might have let alone, True
The insulting hand of Douglas over you,, True
Which would have been as speedy in your end, True
As all the poisonous potions in the world, True
And saved the treacherous labour of your son., True
, True
KING HENRY IV, True
, True
Make up to Clifton: I'll to Sir Nicholas Gawsey., True
, True
Exit, True
, True
Enter HOTSPUR, True
, True
HOTSPUR, True
, True
If I mistake not, thou art Harry Monmouth., True
, True
PRINCE HENRY, True
, True
Thou speak'st as if I would deny my name., True
, True
HOTSPUR, True
, True
My name is Harry Percy., True
, True
PRINCE HENRY, True
, True
Why, then I see, True
A very valiant rebel of the name., True
I am the Prince of Wales; and think not, Percy,, True
To share with me in glory any more:, True
Two stars keep not their motion in one sphere;, True
Nor can one England brook a double reign,, True
Of Harry Percy and the Prince of Wales., True
, True
HOTSPUR, True
, True
Nor shall it, Harry; for the hour is come, True
To end the one of us; and would to God, True
Thy name in arms were now as great as mine!, True
, True
PRINCE HENRY, True
, True
I'll make it greater ere I part from thee;, True
And all the budding honours on thy crest, True
I'll crop, to make a garland for my head., True
, True
HOTSPUR, True
, True
I can no longer brook thy vanities., True
, True
They fight, True
, True
Enter FALSTAFF, True
, True
FALSTAFF, True
, True
Well said, Hal! to it Hal! Nay, you shall find no, True
boy's play here, I can tell you., True
, True
Re-enter DOUGLAS; he fights with FALSTAFF, who falls down as if he were dead, and exit DOUGLAS. HOTSPUR is wounded, and falls, True
, True
HOTSPUR, True
, True
O, Harry, thou hast robb'd me of my youth!, True
I better brook the loss of brittle life, True
Than those proud titles thou hast won of me;, True
They wound my thoughts worse than sword my flesh:, True
But thought's the slave of life, and life time's fool;, True
And time, that takes survey of all the world,, True
Must have a stop. O, I could prophesy,, True
But that the earthy and cold hand of death, True
Lies on my tongue: no, Percy, thou art dust, True
And food for--, True
, True
Dies, True
, True
PRINCE HENRY, True
, True
For worms, brave Percy: fare thee well, great heart!, True
Ill-weaved ambition, how much art thou shrunk!, True
When that this body did contain a spirit,, True
A kingdom for it was too small a bound;, True
But now two paces of the vilest earth, True
Is room enough: this earth that bears thee dead, True
Bears not alive so stout a gentleman., True
If thou wert sensible of courtesy,, True
I should not make so dear a show of zeal:, True
But let my favours hide thy mangled face;, True
And, even in thy behalf, I'll thank myself, True
For doing these fair rites of tenderness., True
Adieu, and take thy praise with thee to heaven!, True
Thy ignominy sleep with thee in the grave,, True
But not remember'd in thy epitaph!, True
, True
He spieth FALSTAFF on the ground, True
What, old acquaintance! could not all this flesh, True
Keep in a little life? Poor Jack, farewell!, True
I could have better spared a better man:, True
O, I should have a heavy miss of thee,, True
If I were much in love with vanity!, True
Death hath not struck so fat a deer to-day,, True
Though many dearer, in this bloody fray., True
Embowell'd will I see thee by and by:, True
Till then in blood by noble Percy lie., True
, True
Exit PRINCE HENRY, True
, True
FALSTAFF, True
, True
[Rising up] Embowelled! if thou embowel me to-day,, True
I'll give you leave to powder me and eat me too, True
to-morrow. 'Sblood,'twas time to counterfeit, or, True
that hot termagant Scot had paid me scot and lot too., True
Counterfeit? I lie, I am no counterfeit: to die,, True
is to be a counterfeit; for he is but the, True
counterfeit of a man who hath not the life of a man:, True
but to counterfeit dying, when a man thereby, True
liveth, is to be no counterfeit, but the true and, True
perfect image of life indeed. The better part of, True
valour is discretion; in the which better part I, True
have saved my life.'Zounds, I am afraid of this, True
gunpowder Percy, though he be dead: how, if he, True
should counterfeit too and rise? by my faith, I am, True
afraid he would prove the better counterfeit., True
Therefore I'll make him sure; yea, and I'll swear I, True
killed him. Why may not he rise as well as I?, True
Nothing confutes me but eyes, and nobody sees me., True
Therefore, sirrah,, True
, True
Stabbing him, True
with a new wound in your thigh, come you along with me., True
, True
Takes up HOTSPUR on his back, True
, True
Re-enter PRINCE HENRY and LORD JOHN OF LANCASTER, True
, True
PRINCE HENRY, True
, True
Come, brother John; full bravely hast thou flesh'd, True
Thy maiden sword., True
, True
LANCASTER, True
, True
But, soft! whom have we here?, True
Did you not tell me this fat man was dead?, True
, True
PRINCE HENRY, True
, True
I did; I saw him dead,, True
Breathless and bleeding on the ground. Art, True
thou alive?, True
Or is it fantasy that plays upon our eyesight?, True
I prithee, speak; we will not trust our eyes, True
Without our ears: thou art not what thou seem'st., True
, True
FALSTAFF, True
, True
No, that's certain; I am not a double man: but if I, True
be not Jack Falstaff, then am I a Jack. There is Percy:, True
, True
Throwing the body down, True
if your father will do me any honour, so; if not, let, True
him kill the next Percy himself. I look to be either, True
earl or duke, I can assure you., True
, True
PRINCE HENRY, True
, True
Why, Percy I killed myself and saw thee dead., True
, True
FALSTAFF, True
, True
Didst thou? Lord, Lord, how this world is given to, True
lying! I grant you I was down and out of breath;, True
and so was he: but we rose both at an instant and, True
fought a long hour by Shrewsbury clock. If I may be, True
believed, so; if not, let them that should reward, True
valour bear the sin upon their own heads. I'll take, True
it upon my death, I gave him this wound in the, True
thigh: if the man were alive and would deny it,, True
'zounds, I would make him eat a piece of my sword., True
, True
LANCASTER, True
, True
This is the strangest tale that ever I heard., True
, True
PRINCE HENRY, True
, True
This is the strangest fellow, brother John., True
Come, bring your luggage nobly on your back:, True
For my part, if a lie may do thee grace,, True
I'll gild it with the happiest terms I have., True
, True
A retreat is sounded, True
The trumpet sounds retreat; the day is ours., True
Come, brother, let us to the highest of the field,, True
To see what friends are living, who are dead., True
, True
Exeunt PRINCE HENRY and LANCASTER, True
, True
FALSTAFF, True
, True
I'll follow, as they say, for reward. He that, True
rewards me, God reward him! If I do grow great,, True
I'll grow less; for I'll purge, and leave sack, and, True
live cleanly as a nobleman should do., True
, True
Exit, True
, True
SCENE V. Another part of the field., True
, True
The trumpets sound. Enter KING HENRY IV, PRINCE HENRY, LORD JOHN LANCASTER, EARL OF WESTMORELAND, with WORCESTER and VERNON prisoners, True
, True
KING HENRY IV, True
, True
Thus ever did rebellion find rebuke., True
Ill-spirited Worcester! did not we send grace,, True
Pardon and terms of love to all of you?, True
And wouldst thou turn our offers contrary?, True
Misuse the tenor of thy kinsman's trust?, True
Three knights upon our party slain to-day,, True
A noble earl and many a creature else, True
Had been alive this hour,, True
If like a Christian thou hadst truly borne, True
Betwixt our armies true intelligence., True
, True
EARL OF WORCESTER, True
, True
What I have done my safety urged me to;, True
And I embrace this fortune patiently,, True
Since not to be avoided it falls on me., True
, True
KING HENRY IV, True
, True
Bear Worcester to the death and Vernon too:, True
Other offenders we will pause upon., True
, True
Exeunt WORCESTER and VERNON, guarded, True
How goes the field?, True
, True
PRINCE HENRY, True
, True
The noble Scot, Lord Douglas, when he saw, True
The fortune of the day quite turn'd from him,, True
The noble Percy slain, and all his men, True
Upon the foot of fear, fled with the rest;, True
And falling from a hill, he was so bruised, True
That the pursuers took him. At my tent, True
The Douglas is; and I beseech your grace, True
I may dispose of him., True
, True
KING HENRY IV, True
, True
With all my heart., True
, True
PRINCE HENRY, True
, True
Then, brother John of Lancaster, to you, True
This honourable bounty shall belong:, True
Go to the Douglas, and deliver him, True
Up to his pleasure, ransomless and free:, True
His valour shown upon our crests to-day, True
Hath taught us how to cherish such high deeds, True
Even in the bosom of our adversaries., True
, True
LANCASTER, True
, True
I thank your grace for this high courtesy,, True
Which I shall give away immediately., True
, True
KING HENRY IV, True
, True
Then this remains, that we divide our power., True
You, son John, and my cousin Westmoreland, True
Towards York shall bend you with your dearest speed,, True
To meet Northumberland and the prelate Scroop,, True
Who, as we hear, are busily in arms:, True
Myself and you, son Harry, will towards Wales,, True
To fight with Glendower and the Earl of March., True
Rebellion in this land shall lose his sway,, True
Meeting the cheque of such another day:, True
And since this business so fair is done,, True
Let us not leave till all our own be won., True
, True
Exeunt, True
The Life and Death of King John, True
, True
ACT I, True
SCENE I. KING JOHN'S palace., True
, True
Enter KING JOHN, QUEEN ELINOR, PEMBROKE, ESSEX, SALISBURY, and others, with CHATILLON, True
, True
KING JOHN, True
, True
Now, say, Chatillon, what would France with us?, True
, True
CHATILLON, True
, True
Thus, after greeting, speaks the King of France, True
In my behavior to the majesty,, True
The borrow'd majesty, of England here., True
, True
QUEEN ELINOR, True
, True
A strange beginning: 'borrow'd majesty!', True
, True
KING JOHN, True
, True
Silence, good mother; hear the embassy., True
, True
CHATILLON, True
, True
Philip of France, in right and true behalf, True
Of thy deceased brother Geffrey's son,, True
Arthur Plantagenet, lays most lawful claim, True
To this fair island and the territories,, True
To Ireland, Poictiers, Anjou, Touraine, Maine,, True
Desiring thee to lay aside the sword, True
Which sways usurpingly these several titles,, True
And put these same into young Arthur's hand,, True
Thy nephew and right royal sovereign., True
, True
KING JOHN, True
, True
What follows if we disallow of this?, True
, True
CHATILLON, True
, True
The proud control of fierce and bloody war,, True
To enforce these rights so forcibly withheld., True
, True
KING JOHN, True
, True
Here have we war for war and blood for blood,, True
Controlment for controlment: so answer France., True
, True
CHATILLON, True
, True
Then take my king's defiance from my mouth,, True
The farthest limit of my embassy., True
, True
KING JOHN, True
, True
Bear mine to him, and so depart in peace:, True
Be thou as lightning in the eyes of France;, True
For ere thou canst report I will be there,, True
The thunder of my cannon shall be heard:, True
So hence! Be thou the trumpet of our wrath, True
And sullen presage of your own decay., True
An honourable conduct let him have:, True
Pembroke, look to 't. Farewell, Chatillon., True
, True
Exeunt CHATILLON and PEMBROKE, True
, True
QUEEN ELINOR, True
, True
What now, my son! have I not ever said, True
How that ambitious Constance would not cease, True
Till she had kindled France and all the world,, True
Upon the right and party of her son?, True
This might have been prevented and made whole, True
With very easy arguments of love,, True
Which now the manage of two kingdoms must, True
With fearful bloody issue arbitrate., True
, True
KING JOHN, True
, True
Our strong possession and our right for us., True
, True
QUEEN ELINOR, True
, True
Your strong possession much more than your right,, True
Or else it must go wrong with you and me:, True
So much my conscience whispers in your ear,, True
Which none but heaven and you and I shall hear., True
, True
Enter a Sheriff, True
, True
ESSEX, True
, True
My liege, here is the strangest controversy, True
Come from country to be judged by you,, True
That e'er I heard: shall I produce the men?, True
, True
KING JOHN, True
, True
Let them approach., True
Our abbeys and our priories shall pay, True
This expedition's charge., True
, True
Enter ROBERT and the BASTARD, True
What men are you?, True
, True
BASTARD, True
, True
Your faithful subject I, a gentleman, True
Born in Northamptonshire and eldest son,, True
As I suppose, to Robert Faulconbridge,, True
A soldier, by the honour-giving hand, True
Of Coeur-de-lion knighted in the field., True
, True
KING JOHN, True
, True
What art thou?, True
, True
ROBERT, True
, True
The son and heir to that same Faulconbridge., True
, True
KING JOHN, True
, True
Is that the elder, and art thou the heir?, True
You came not of one mother then, it seems., True
, True
BASTARD, True
, True
Most certain of one mother, mighty king;, True
That is well known; and, as I think, one father:, True
But for the certain knowledge of that truth, True
I put you o'er to heaven and to my mother:, True
Of that I doubt, as all men's children may., True
, True
QUEEN ELINOR, True
, True
Out on thee, rude man! thou dost shame thy mother, True
And wound her honour with this diffidence., True
, True
BASTARD, True
, True
I, madam? no, I have no reason for it;, True
That is my brother's plea and none of mine;, True
The which if he can prove, a' pops me out, True
At least from fair five hundred pound a year:, True
Heaven guard my mother's honour and my land!, True
, True
KING JOHN, True
, True
A good blunt fellow. Why, being younger born,, True
Doth he lay claim to thine inheritance?, True
, True
BASTARD, True
, True
I know not why, except to get the land., True
But once he slander'd me with bastardy:, True
But whether I be as true begot or no,, True
That still I lay upon my mother's head,, True
But that I am as well begot, my liege,--, True
Fair fall the bones that took the pains for me!--, True
Compare our faces and be judge yourself., True
If old sir Robert did beget us both, True
And were our father and this son like him,, True
O old sir Robert, father, on my knee, True
I give heaven thanks I was not like to thee!, True
, True
KING JOHN, True
, True
Why, what a madcap hath heaven lent us here!, True
, True
QUEEN ELINOR, True
, True
He hath a trick of Coeur-de-lion's face;, True
The accent of his tongue affecteth him., True
Do you not read some tokens of my son, True
In the large composition of this man?, True
, True
KING JOHN, True
, True
Mine eye hath well examined his parts, True
And finds them perfect Richard. Sirrah, speak,, True
What doth move you to claim your brother's land?, True
, True
BASTARD, True
, True
Because he hath a half-face, like my father., True
With half that face would he have all my land:, True
A half-faced groat five hundred pound a year!, True
, True
ROBERT, True
, True
My gracious liege, when that my father lived,, True
Your brother did employ my father much,--, True
, True
BASTARD, True
, True
Well, sir, by this you cannot get my land:, True
Your tale must be how he employ'd my mother., True
, True
ROBERT, True
, True
And once dispatch'd him in an embassy, True
To Germany, there with the emperor, True
To treat of high affairs touching that time., True
The advantage of his absence took the king, True
And in the mean time sojourn'd at my father's;, True
Where how he did prevail I shame to speak,, True
But truth is truth: large lengths of seas and shores, True
Between my father and my mother lay,, True
As I have heard my father speak himself,, True
When this same lusty gentleman was got., True
Upon his death-bed he by will bequeath'd, True
His lands to me, and took it on his death, True
That this my mother's son was none of his;, True
And if he were, he came into the world, True
Full fourteen weeks before the course of time., True
Then, good my liege, let me have what is mine,, True
My father's land, as was my father's will., True
, True
KING JOHN, True
, True
Sirrah, your brother is legitimate;, True
Your father's wife did after wedlock bear him,, True
And if she did play false, the fault was hers;, True
Which fault lies on the hazards of all husbands, True
That marry wives. Tell me, how if my brother,, True
Who, as you say, took pains to get this son,, True
Had of your father claim'd this son for his?, True
In sooth, good friend, your father might have kept, True
This calf bred from his cow from all the world;, True
In sooth he might; then, if he were my brother's,, True
My brother might not claim him; nor your father,, True
Being none of his, refuse him: this concludes;, True
My mother's son did get your father's heir;, True
Your father's heir must have your father's land., True
, True
ROBERT, True
, True
Shall then my father's will be of no force, True
To dispossess that child which is not his?, True
, True
BASTARD, True
, True
Of no more force to dispossess me, sir,, True
Than was his will to get me, as I think., True
, True
QUEEN ELINOR, True
, True
Whether hadst thou rather be a Faulconbridge, True
And like thy brother, to enjoy thy land,, True
Or the reputed son of Coeur-de-lion,, True
Lord of thy presence and no land beside?, True
, True
BASTARD, True
, True
Madam, an if my brother had my shape,, True
And I had his, sir Robert's his, like him;, True
And if my legs were two such riding-rods,, True
My arms such eel-skins stuff'd, my face so thin, True
That in mine ear I durst not stick a rose, True
Lest men should say 'Look, where three-farthings goes!', True
And, to his shape, were heir to all this land,, True
Would I might never stir from off this place,, True
I would give it every foot to have this face;, True
I would not be sir Nob in any case., True
, True
QUEEN ELINOR, True
, True
I like thee well: wilt thou forsake thy fortune,, True
Bequeath thy land to him and follow me?, True
I am a soldier and now bound to France., True
, True
BASTARD, True
, True
Brother, take you my land, I'll take my chance., True
Your face hath got five hundred pound a year,, True
Yet sell your face for five pence and 'tis dear., True
Madam, I'll follow you unto the death., True
, True
QUEEN ELINOR, True
, True
Nay, I would have you go before me thither., True
, True
BASTARD, True
, True
Our country manners give our betters way., True
, True
KING JOHN, True
, True
What is thy name?, True
, True
BASTARD, True
, True
Philip, my liege, so is my name begun,, True
Philip, good old sir Robert's wife's eldest son., True
, True
KING JOHN, True
, True
From henceforth bear his name whose form thou bear'st:, True
Kneel thou down Philip, but rise more great,, True
Arise sir Richard and Plantagenet., True
, True
BASTARD, True
, True
Brother by the mother's side, give me your hand:, True
My father gave me honour, yours gave land., True
Now blessed by the hour, by night or day,, True
When I was got, sir Robert was away!, True
, True
QUEEN ELINOR, True
, True
The very spirit of Plantagenet!, True
I am thy grandam, Richard; call me so., True
, True
BASTARD, True
, True
Madam, by chance but not by truth; what though?, True
Something about, a little from the right,, True
In at the window, or else o'er the hatch:, True
Who dares not stir by day must walk by night,, True
And have is have, however men do catch:, True
Near or far off, well won is still well shot,, True
And I am I, howe'er I was begot., True
, True
KING JOHN, True
, True
Go, Faulconbridge: now hast thou thy desire;, True
A landless knight makes thee a landed squire., True
Come, madam, and come, Richard, we must speed, True
For France, for France, for it is more than need., True
, True
BASTARD, True
, True
Brother, adieu: good fortune come to thee!, True
For thou wast got i' the way of honesty., True
, True
Exeunt all but BASTARD, True
A foot of honour better than I was;, True
But many a many foot of land the worse., True
Well, now can I make any Joan a lady., True
'Good den, sir Richard!'--'God-a-mercy, fellow!'--, True
And if his name be George, I'll call him Peter;, True
For new-made honour doth forget men's names;, True
'Tis too respective and too sociable, True
For your conversion. Now your traveller,, True
He and his toothpick at my worship's mess,, True
And when my knightly stomach is sufficed,, True
Why then I suck my teeth and catechise, True
My picked man of countries: 'My dear sir,', True
Thus, leaning on mine elbow, I begin,, True
'I shall beseech you'--that is question now;, True
And then comes answer like an Absey book:, True
'O sir,' says answer, 'at your best command;, True
At your employment; at your service, sir;', True
'No, sir,' says question, 'I, sweet sir, at yours:', True
And so, ere answer knows what question would,, True
Saving in dialogue of compliment,, True
And talking of the Alps and Apennines,, True
The Pyrenean and the river Po,, True
It draws toward supper in conclusion so., True
But this is worshipful society, True
And fits the mounting spirit like myself,, True
For he is but a bastard to the time, True
That doth not smack of observation;, True
And so am I, whether I smack or no;, True
And not alone in habit and device,, True
Exterior form, outward accoutrement,, True
But from the inward motion to deliver, True
Sweet, sweet, sweet poison for the age's tooth:, True
Which, though I will not practise to deceive,, True
Yet, to avoid deceit, I mean to learn;, True
For it shall strew the footsteps of my rising., True
But who comes in such haste in riding-robes?, True
What woman-post is this? hath she no husband, True
That will take pains to blow a horn before her?, True
, True
Enter LADY FAULCONBRIDGE and GURNEY, True
O me! it is my mother. How now, good lady!, True
What brings you here to court so hastily?, True
, True
LADY FAULCONBRIDGE, True
, True
Where is that slave, thy brother? where is he,, True
That holds in chase mine honour up and down?, True
, True
BASTARD, True
, True
My brother Robert? old sir Robert's son?, True
Colbrand the giant, that same mighty man?, True
Is it sir Robert's son that you seek so?, True
, True
LADY FAULCONBRIDGE, True
, True
Sir Robert's son! Ay, thou unreverend boy,, True
Sir Robert's son: why scorn'st thou at sir Robert?, True
He is sir Robert's son, and so art thou., True
, True
BASTARD, True
, True
James Gurney, wilt thou give us leave awhile?, True
, True
GURNEY, True
, True
Good leave, good Philip., True
, True
BASTARD, True
, True
Philip! sparrow: James,, True
There's toys abroad: anon I'll tell thee more., True
, True
Exit GURNEY, True
Madam, I was not old sir Robert's son:, True
Sir Robert might have eat his part in me, True
Upon Good-Friday and ne'er broke his fast:, True
Sir Robert could do well: marry, to confess,, True
Could he get me? Sir Robert could not do it:, True
We know his handiwork: therefore, good mother,, True
To whom am I beholding for these limbs?, True
Sir Robert never holp to make this leg., True
, True
LADY FAULCONBRIDGE, True
, True
Hast thou conspired with thy brother too,, True
That for thine own gain shouldst defend mine honour?, True
What means this scorn, thou most untoward knave?, True
, True
BASTARD, True
, True
Knight, knight, good mother, Basilisco-like., True
What! I am dubb'd! I have it on my shoulder., True
But, mother, I am not sir Robert's son;, True
I have disclaim'd sir Robert and my land;, True
Legitimation, name and all is gone:, True
Then, good my mother, let me know my father;, True
Some proper man, I hope: who was it, mother?, True
, True
LADY FAULCONBRIDGE, True
, True
Hast thou denied thyself a Faulconbridge?, True
, True
BASTARD, True
, True
As faithfully as I deny the devil., True
, True
LADY FAULCONBRIDGE, True
, True
King Richard Coeur-de-lion was thy father:, True
By long and vehement suit I was seduced, True
To make room for him in my husband's bed:, True
Heaven lay not my transgression to my charge!, True
Thou art the issue of my dear offence,, True
Which was so strongly urged past my defence., True
, True
BASTARD, True
, True
Now, by this light, were I to get again,, True
Madam, I would not wish a better father., True
Some sins do bear their privilege on earth,, True
And so doth yours; your fault was not your folly:, True
Needs must you lay your heart at his dispose,, True
Subjected tribute to commanding love,, True
Against whose fury and unmatched force, True
The aweless lion could not wage the fight,, True
Nor keep his princely heart from Richard's hand., True
He that perforce robs lions of their hearts, True
May easily win a woman's. Ay, my mother,, True
With all my heart I thank thee for my father!, True
Who lives and dares but say thou didst not well, True
When I was got, I'll send his soul to hell., True
Come, lady, I will show thee to my kin;, True
And they shall say, when Richard me begot,, True
If thou hadst said him nay, it had been sin:, True
Who says it was, he lies; I say 'twas not., True
, True
Exeunt, True
, True
ACT II, True
SCENE I. France. Before Angiers., True
, True
Enter AUSTRIA and forces, drums, etc. on one side: on the other KING PHILIP and his power; LEWIS, ARTHUR, CONSTANCE and attendants, True
, True
LEWIS, True
, True
Before Angiers well met, brave Austria., True
Arthur, that great forerunner of thy blood,, True
Richard, that robb'd the lion of his heart, True
And fought the holy wars in Palestine,, True
By this brave duke came early to his grave:, True
And for amends to his posterity,, True
At our importance hither is he come,, True
To spread his colours, boy, in thy behalf,, True
And to rebuke the usurpation, True
Of thy unnatural uncle, English John:, True
Embrace him, love him, give him welcome hither., True
, True
ARTHUR, True
, True
God shall forgive you Coeur-de-lion's death, True
The rather that you give his offspring life,, True
Shadowing their right under your wings of war:, True
I give you welcome with a powerless hand,, True
But with a heart full of unstained love:, True
Welcome before the gates of Angiers, duke., True
, True
LEWIS, True
, True
A noble boy! Who would not do thee right?, True
, True
AUSTRIA, True
, True
Upon thy cheek lay I this zealous kiss,, True
As seal to this indenture of my love,, True
That to my home I will no more return,, True
Till Angiers and the right thou hast in France,, True
Together with that pale, that white-faced shore,, True
Whose foot spurns back the ocean's roaring tides, True
And coops from other lands her islanders,, True
Even till that England, hedged in with the main,, True
That water-walled bulwark, still secure, True
And confident from foreign purposes,, True
Even till that utmost corner of the west, True
Salute thee for her king: till then, fair boy,, True
Will I not think of home, but follow arms., True
, True
CONSTANCE, True
, True
O, take his mother's thanks, a widow's thanks,, True
Till your strong hand shall help to give him strength, True
To make a more requital to your love!, True
, True
AUSTRIA, True
, True
The peace of heaven is theirs that lift their swords, True
In such a just and charitable war., True
, True
KING PHILIP, True
, True
Well then, to work: our cannon shall be bent, True
Against the brows of this resisting town., True
Call for our chiefest men of discipline,, True
To cull the plots of best advantages:, True
We'll lay before this town our royal bones,, True
Wade to the market-place in Frenchmen's blood,, True
But we will make it subject to this boy., True
, True
CONSTANCE, True
, True
Stay for an answer to your embassy,, True
Lest unadvised you stain your swords with blood:, True
My Lord Chatillon may from England bring,, True
That right in peace which here we urge in war,, True
And then we shall repent each drop of blood, True
That hot rash haste so indirectly shed., True
, True
Enter CHATILLON, True
, True
KING PHILIP, True
, True
A wonder, lady! lo, upon thy wish,, True
Our messenger Chatillon is arrived!, True
What England says, say briefly, gentle lord;, True
We coldly pause for thee; Chatillon, speak., True
, True
CHATILLON, True
, True
Then turn your forces from this paltry siege, True
And stir them up against a mightier task., True
England, impatient of your just demands,, True
Hath put himself in arms: the adverse winds,, True
Whose leisure I have stay'd, have given him time, True
To land his legions all as soon as I;, True
His marches are expedient to this town,, True
His forces strong, his soldiers confident., True
With him along is come the mother-queen,, True
An Ate, stirring him to blood and strife;, True
With her her niece, the Lady Blanch of Spain;, True
With them a bastard of the king's deceased,, True
And all the unsettled humours of the land,, True
Rash, inconsiderate, fiery voluntaries,, True
With ladies' faces and fierce dragons' spleens,, True
Have sold their fortunes at their native homes,, True
Bearing their birthrights proudly on their backs,, True
To make hazard of new fortunes here:, True
In brief, a braver choice of dauntless spirits, True
Than now the English bottoms have waft o'er, True
Did nearer float upon the swelling tide,, True
To do offence and scath in Christendom., True
, True
Drum beats, True
The interruption of their churlish drums, True
Cuts off more circumstance: they are at hand,, True
To parley or to fight; therefore prepare., True
, True
KING PHILIP, True
, True
How much unlook'd for is this expedition!, True
, True
AUSTRIA, True
, True
By how much unexpected, by so much, True
We must awake endavour for defence;, True
For courage mounteth with occasion:, True
Let them be welcome then: we are prepared., True
, True
Enter KING JOHN, QUEEN ELINOR, BLANCH, the BASTARD, Lords, and forces, True
, True
KING JOHN, True
, True
Peace be to France, if France in peace permit, True
Our just and lineal entrance to our own;, True
If not, bleed France, and peace ascend to heaven,, True
Whiles we, God's wrathful agent, do correct, True
Their proud contempt that beats His peace to heaven., True
, True
KING PHILIP, True
, True
